source_url,target_url,target_scope,link_type,anchor_text,explanation,context,source_outgoing_same_type,target_incoming_same_type,source_priority,target_priority
https://atelierdeconsultanta.ro/calendar-fonduri-europene,https://atelierdeconsultanta.ro/contact,internal,contextual,Contact,,Pe scurt,6,38,no,no
https://atelierdeconsultanta.ro/calendar-fonduri-europene,https://atelierdeconsultanta.ro/e-move,internal,contextual,E Move,,Pe scurt,6,8,no,no
https://atelierdeconsultanta.ro/calendar-fonduri-europene,https://atelierdeconsultanta.ro/fonduri-europene-nerambursabile-2026,internal,contextual,Fonduri Europene Nerambursabile 2026,,Pe scurt,6,4,no,no
https://atelierdeconsultanta.ro/calendar-fonduri-europene,https://atelierdeconsultanta.ro/gal-afir,internal,contextual,Gal Afir,,Pe scurt,6,9,no,no
https://atelierdeconsultanta.ro/calendar-fonduri-europene,https://atelierdeconsultanta.ro/ghiduri,internal,contextual,Ghiduri,,Pe scurt,6,9,no,no
https://atelierdeconsultanta.ro/calendar-fonduri-europene,https://atelierdeconsultanta.ro/resurse,internal,contextual,Resurse,,Pe scurt,6,10,no,no
https://atelierdeconsultanta.ro/cand-merita-consultant-fonduri-europene,https://atelierdeconsultanta.ro/calendar-fonduri-europene,internal,contextual,Calendar fonduri europene,,Ce trebuie să știi,10,20,no,no
https://atelierdeconsultanta.ro/cand-merita-consultant-fonduri-europene,https://atelierdeconsultanta.ro/consultanta-afir,internal,contextual,consultanță AFIR,,Ce trebuie să știi,10,12,no,yes
https://atelierdeconsultanta.ro/cand-merita-consultant-fonduri-europene,https://atelierdeconsultanta.ro/consultanta-fonduri-europene,internal,contextual,Consultanță fonduri europene,,Ce trebuie să știi,10,54,no,no
https://atelierdeconsultanta.ro/cand-merita-consultant-fonduri-europene,https://atelierdeconsultanta.ro/consultanta-pnrr-digitalizare,internal,contextual,PNRR / digitalizare IMM,,Ce trebuie să știi,10,18,no,no
https://atelierdeconsultanta.ro/cand-merita-consultant-fonduri-europene,https://atelierdeconsultanta.ro/consultanta-start-up-nation-2026,internal,contextual,Start-Up Nation,,Ce trebuie să știi,10,17,no,no
https://atelierdeconsultanta.ro/cand-merita-consultant-fonduri-europene,https://atelierdeconsultanta.ro/contact,internal,contextual,Trimite profilul firmei și investiția propusă,,Ce trebuie să știi,10,38,no,no
https://atelierdeconsultanta.ro/cand-merita-consultant-fonduri-europene,https://atelierdeconsultanta.ro/fonduri-europene-imm,internal,contextual,Fonduri europene pentru IMM,,Ce trebuie să știi,10,25,no,yes
https://atelierdeconsultanta.ro/cand-merita-consultant-fonduri-europene,https://atelierdeconsultanta.ro/glosar-fonduri-europene,internal,contextual,Glosar fonduri europene,,Ce trebuie să știi,10,13,no,no
https://atelierdeconsultanta.ro/cand-merita-consultant-fonduri-europene,https://atelierdeconsultanta.ro/metodologie-verificare-eligibilitate,internal,contextual,Metodologia FABER de verificare a eligibilității,,Ce trebuie să știi,10,30,no,no
https://atelierdeconsultanta.ro/cand-merita-consultant-fonduri-europene,https://atelierdeconsultanta.ro/surse-oficiale-fonduri-europene,internal,contextual,Surse oficiale pentru fonduri europene,,Ce trebuie să știi,10,29,no,no
https://atelierdeconsultanta.ro/cat-costa-consultanta-fonduri-europene,https://atelierdeconsultanta.ro/cat-costa-consultanta-fonduri-europene-ghid,internal,contextual,Cât Costa Consultanță Fonduri Europene Ghid,,Pe scurt,8,1,no,no
